필드명	행정표준용어	매칭결과
"토요일운영종료시각
"	건설이자	#N/A
"공휴일운영시작시각
"	건설임대주택	#N/A
"공휴일운영종료시각
"	건설폐기물	#N/A
"어린이집명
"	건설폐기물처리시설	#N/A
"시도명
"	건설폐기물처리업	#N/A
"시군구명
"	건수	#N/A
"어린이집유형구분
"	건식	#N/A
"정원수
"	건의	#N/A
"보육교직원수
"	건의성민원	#N/A
"소재지도로명주소
"	건의안	#N/A
"어린이집전화번호
"	건전	#N/A
"어린이집팩스번호
"	건전성	#N/A
"보육실수
"	건전지	#N/A
"놀이터수
"	건제	#N/A
"CCTV설치수
"	건조	#N/A
"통학차량운영여부
"	건조물	#N/A
"홈페이지주소
"	건조자	#N/A
"데이터기준일자
"	건축	#N/A
"위도
"	건축물	#N/A
"경도
"	건축사	#N/A
"FAX번호
"	건축주	#N/A
"cctv설치수
"	건평	#N/A
"구분
"	건폐	#N/A
"화장실명
"	건폐율	#N/A
"소재지도로명주소
"	검거	#N/A
"소재지지번주소
"	검댕	#N/A
"남녀공용화장실여부
"	검량사	#N/A
"남성용-대변기수
"	검문	#N/A
"남성용-소변기수
"	검문소	#N/A
"남성용-장애인용대변기수
"	검사	#N/A
"남성용-장애인용소변기수
"	검사	#N/A
"남성용-어린이용대변기수
"	검사관	#N/A
"남성용-어린이용소변기수
"	검사기준일	#N/A
"여성용-대변기수
"	검사대	#N/A
"여성용-장애인용대변기수
"	검사대상자	#N/A
"여성용-어린이용대변기수
"	검사방법	#N/A
"관리기관명
"	검사소	#N/A
"전화번호
"	검사수수료	#N/A
"개방시간
"	검사인	#N/A
"설치년도
"	검사입회	#N/A
"위도
"	검사자	#N/A
"경도
"	검사주무	#N/A
"데이터기준일자
"	검사증	#N/A
"연락처
"	검사지정관	#N/A
"기관명
"	검사직원	#N/A
"사회서비스분야
"	검사필	#N/A
"주된목적
"	검색	#N/A
"사업내용
"	검색기법	#N/A
"인증일자
"	검색어	#N/A
"인증번호
"	검수	#N/A
"대표자명
"	검수사	#N/A
"연락처
"	검수업	#N/A
"소재지도로명주소
"	검시	#N/A
"소재지지번주소
"	검안	#N/A
"홈페이지주소
"	검역	#N/A
"데이터기준일자
"	검역대상물품	#N/A
"위도
"	검역소	#N/A
"경도
"	검역시행장	#N/A
"설치장소
"	검역안내	#N/A
"설치위치
"	검역원	#N/A
"운영시간
"	검역증	#N/A
"발급민원종류
"	검역필	#N/A
"소재지도로명주소
"	검역항	#N/A
"관리기관명
"	검열	#N/A
"연락처
"	검인	#N/A
"소재지지번주소
"	검정	#N/A
"경도
"	검정검량	#N/A
"위도
"	검정고시	#N/A
"데이터기준일자
"	검정도서	#N/A
"경도(WGS좌표)
"	검정인	#N/A
"위도(WSG좌표)
"	검조소	#N/A
"경도(WGS84좌표)
"	검증	#N/A
"위도(WGS84좌표)
"	검증자	#N/A
"위도(WGS85좌표)
"	검진	#N/A
"주차장관리번호
"	검찰	#N/A
"주차장명
"	검찰공무원	#N/A
"주차장구분
"	검찰청	#N/A
"주차장유형
"	검출	#N/A
"소재지도로명주소
"	검측감리	#N/A
"소재지지번주소
"	검침	#N/A
"주차구획수
"	검토	#N/A
"급지구분
"	검토자	#N/A
"부제시행구분
"	게시	#N/A
"운영요일
"	게시글	#N/A
"평일운영시작시각
"	게시물	#N/A
"평일운영종료시각
"	게시시설	#N/A
"토요일운영시작시각
"	게시자	#N/A
"토요일운영종료시각
"	게시판	#N/A
"공휴일운영시작시각
"	게양	#N/A
"공휴일운영종료시각
"	게이트볼	#N/A
"요금정보
"	게이트웨이	#N/A
"주차기본시간
"	게이트키퍼	#N/A
"주차기본요금
"	게임	#N/A
"추가단위시간
"	게임물	#N/A
"추가단위요금
"	게임제공업	#N/A
"1일주차권요금적용시간
"	게재	#N/A
"1일주차권요금
"	겨울	#N/A
"월정기권요금
"	격납고	#N/A
"결제방법
"	격려	#N/A
"특기사항
"	격리	#N/A
"관리기관명
"	격리재배	#N/A
"전화번호
"	격벽	#N/A
"위도
"	격월	#N/A
"경도
"	격차	#N/A
"데이터기준일자
"	견련	#N/A
"연락처
"	견본검사	#N/A
"위도(WGS84좌표)
"	견본품	#N/A
"경도(WGS84좌표)
"	견습	#N/A
"데이터작성일자
"	견인	#N/A
"주말운영시작시각
"	견적	#N/A
"주말운영종료시각
"	견적가격	#N/A
"토요일운영종료시각\
"	견적서	#N/A
"1일주차권요금적용시간\
"	견적송장	#N/A
"1일주차권
"	견책	#N/A
"관리기관
"	견품반출	#N/A
"경도도(WGS84좌표)
"	견학	#N/A
"시장명
"	결격사유	#N/A
"시장유형
"	결과	#N/A
"소재지도로명주소
"	결근	#N/A
"시장개설주기
"	결론	#N/A
"소재지지번주소
"	결말판결	#N/A
"경도
"	결박	#N/A
"위도
"	결번	#N/A
"점포수
"	결부	#N/A
"취급품목
"	결산	#N/A
"사용가능상품권
"	결산금액	#N/A
"홈페이지주소
"	결산기	#N/A
"공중화장실보유여부
"	결산보고서	#N/A
"주차장보유여부
"	결석	#N/A
"개설년도
"	결석판결	#N/A
"연락처
"	결선투표	#N/A
"데이터기준일자
"	결성	#N/A
"전화번호
"	결손	#N/A
"시설종류
"	결손금	#N/A
"대상시설명
"	결손처분	#N/A
"소재지도로명주소
"	결약서	#N/A
"경도
"	결여	#N/A
"위도
"	결연	#N/A
"관리기관명
"	결원	#N/A
"관할경찰서명
"	결의	#N/A
"CCTV설치여부
"	결의서	#N/A
"CCTV설치대수
"	결재	#N/A
"소재지지번주소
"	결재권자	#N/A
"보호구역도로폭
"	결재자	#N/A
"데이터기준일자
"	결정	#N/A
"관리번호
"	결정규범	#N/A
"공원명
"	결정례	#N/A
"공원구분
"	결정서	#N/A
"소재지지번주소
"	결정요소	#N/A
"소재지도로명주소
"	결제	#N/A
"위도
"	결제가격	#N/A
"경도
"	결제수량	#N/A
"공원면적
"	결제수수료	#N/A
"공원보유시설(운동시설)
"	결제은행	#N/A
"공원보유시설(유희시설)
"	결제일	#N/A
"공원보유시설(편익시설)
"	결제자	#N/A
"공원보유시설(교양시설)
"	결제조건	#N/A
"공원보유시설(기타시설)
"	결제통화	#N/A
"지정고시일
"	결집	#N/A
"관리기관명
"	결탁소송	#N/A
"연락처
"	결함	#N/A
"데이터기준일자
"	결합	#N/A
"위도(WGS84좌표)
"	결합범	#N/A
"경도(WGS84좌표)
"	결합용기	#N/A
	결핵	
	결핵관리업무	
	결혼	
	결혼기념	
	겸보	
	겸업	
	겸영	
	겸용	
	겸용선	
	겸임	
	겸직	
	경간	
	경감	
	경계	
	경계소송	
	경고	
	경과	
	경과규정	
	경과이자	
	경과조치	
	경관	
	경기	
	경기경력	
	경기단체	
	경기도	
	경기도가평군	
	경기도고양시	
	경기도과천시	
	경기도광명시	
	경기도광주시	
	경기도구리시	
	경기도군포시	
	경기도김포시	
	경기도남양주시	
	경기도동두천시	
	경기도부천시	
	경기도성남시	
	경기도수원시	
	경기도시흥시	
	경기도안산시	
	경기도안성시	
	경기도안양시	
	경기도양주시	
	경기도양평군	
	경기도여주군	
	경기도연천군	
	경기도오산시	
	경기도용인시	
	경기도의왕시	
	경기도의정부시	
	경기도이천시	
	경기도파주시	
	경기도평택시	
	경기도포천시	
	경기도하남시	
	경기도화성시	
	경기장	
	경기지도경력	
	경남	
	경내지	
	경대	
	경도	
	경량	
	경력	
	경력관리	
	경력사칭	
	경력자	
	경력자료	
	경력직공무원	
	경력평정	
	경로	
	경륜	
	경리	
	경리관	
	경마	
	경마장	
	경매	
	경매개시결정	
	경매보증금	
	경매청약	
	경무	
	경미	
	경범죄	
	경범죄처벌법	
	경보	
	경보기	
	경북	
	경비	
	경비	
	경비업	
	경비원	
	경비지도사	
	경사	
	경사관세	
	경사궤도	
	경사도	
	경사지	
	경사터널	
	경상	
	경상경비	
	경상남도	
	경상남도거제시	
	경상남도거창군	
	경상남도고성군	
	경상남도김해시	
	경상남도남해군	
	경상남도마산시	
	경상남도밀양시	
	경상남도사천시	
	경상남도산청군	
	경상남도양산시	
	경상남도의령군	
	경상남도진주시	
	경상남도진해시	
	경상남도창녕군	
	경상남도창원시	
	경상남도통영시	
	경상남도하동군	
	경상남도함안군	
	경상남도함양군	
	경상남도합천군	
	경상북도	
	경상북도경산시	
	경상북도경주시	
	경상북도고령군	
	경상북도구미시	
	경상북도군위군	
	경상북도김천시	
	경상북도문경시	
	경상북도봉화군	
	경상북도상주시	
	경상북도성주군	
	경상북도안동시	
	경상북도영덕군	
	경상북도영양군	
	경상북도영주시	
	경상북도영천시	
	경상북도예천군	
	경상북도울릉군	
	경상북도울진군	
	경상북도의성군	
	경상북도청도군	
	경상북도청송군	
	경상북도칠곡군	
	경상북도포항시	
	경상비	
	경상이익	
	경상자	
	경선	
	경선기간	
	경선선거인	
	경선일	
	경수로	
	경신	
	경연대회	
	경영	
	경영관리	
	경영방침	
	경영위임	
	경영이양	
	경영자	
	경영지도	
	경우	
	경운기	
	경위	
	경유	
	경유지	
	경의선	
	경작	
	경작지	
	경쟁	
	경쟁력	
	경쟁매매	
	경쟁사	
	경쟁율	
	경쟁제한행위	
	경적	
	경전철	
	경정	
	경정결정	
	경정등기	
	경정처분	
	경정청구	
	경정통지서	
	경제	
	경제사범	
	경제성	
	경제수역	
	경제자유구역	
	경제자유구역개발계획	
	경제적기본권	
	경제특구	
	경제협력개발기구	
	경조	
	경종	
	경주마	
	경지	
	경진대회	
	경질	
	경징계	
	경차	
	경찰	
	경찰강제	
	경찰기관	
	경찰긴급권	
	경찰복	
	경찰서	
	경찰청	
	경축	
	경품	
	경합	
	경향	
	경험	
	경협	
	경호	
	경호구역	
	계	
	계고	
	계급	
	계단	
	계란집하업	
	계량	
	계량기	
	계량기준	
	계량단위	
	계류	
	계리	
	계명	
	계몽	
	계발	
	계보	
	계산	
	계산가격	
	계산서	
	계선	
	계속	
	계속거래	
	계속보험	
	계속비대형공사	
	계속지역권	
	계수	
	계수기	
	계승	
	계시	
	계약	
	계약금	
	계약금액	
	계약기간	
	계약담당공무원	
	계약대금	
	계약보증금	
	계약서	
	계약수량	
	계약위반	
	계약이행보증	
	계약자	
	계약전력	
	계약직	
	계엄	
	계열	
	계열	
	계열기업	
	계열사	
	계열화	
	계열회사	
	계장	
	계전기	
	계절	
	계절관세	
	계정	
	계정과목	
	계정항목	
	계좌	
	계좌번호	
	계좌주	
	계측기	
	계층	
	계층분석의사결정	
	계호	
	계획	
	계획교통량	
	계획서	
	고	
	고가	
	고가품	
	고갈	
	고객	
	고객관계관리	
	고객니즈전략	
	고객등급	
	고객만족경영	
	고객만족도조사	
	고객민원	
	고객분석	
	고객불만	
	고객사	
	고객수	
	고객정보	
	고객지주제	
	고고학	
	고공품	
	고과	
	고교	
	고교평준화	
	고궁	
	고급	
	고기후	
	고냉지	
	고냉지대	
	고대사	
	고도	
	고도보존사업	
	고도화	
	고등교육	
	고등교육기관	
	고등법원	
	고등학교	
	고등학생	
	고래	
	고랭지	
	고려	
	고려기간	
	고령	
	고령사회	
	고령자	
	고령화	
	고령화사회	
	고리금지법	
	고리대	
	고무	
	고박장치	
	고발	
	고부가가치	
	고분자	
	고분자재료	
	고분자화합물	
	고사	
	고산	
	고살	
	고서	
	고세율	
	고소	
	고소권자	
	고소인	
	고소추완	
	고소취소	
	고속	
	고속국도	
	고속도로	
	고속버스	
	고속선	
	고속여객선	
	고속철도	
	고속철도차량	
	고속회선교환망	
	고수익	
	고시	
	고시금액	
	고아	
	고안	
	고압	
	고압	
	고압가스설비	
	고압작업	
	고액	
	고열	
	고엽제	
	고용	
	고용보험	
	고용인	
	고용주	
	고용직공무원	
	고위	
	고유	
	고유권	
	고유번호	
	고유법	
	고유재산	
	고장	
	고장신고	
	고장원인	
	고장유형	
	고장작업	
	고장접수	
	고전압	
	고점성물질	
	고정	
	고정가격	
	고정급	
	고정자산	
	고정직접지불금	
	고정하중	
	고정환율제도	
	고조	
	고주파	
	고증	
	고지	
	고지대	
	고지서	
	고지의무	
	고철	
	고철장	
	고철화	
	고체	
	고체화학물질	
	고충	
	고충민원	
	고충처리기관	
	고취	
	고층	
	고층대기	
	고통	
	고품질	
	고향	
	고혈압	
	고형화	
	고형화처리설비	
	곡류	
	곡률	
	곡물	
	곡선	
	곡식	
	곤경	
	곤돌라	
	곤란	
	곤봉	
	곤충	
	곤충동물매개감염병	
	곤충동물매개감염병고위험작업	
	골동품	
	골목길	
	골반충격부위	
	골재	
	골재자원조사	
	골재채취업	
	골절	
	골프	
	골프연습장	
	골프장	
	곰팡이	
	곱셈	
	공	
	공간	
	공갈	
	공개	
	공개입찰	
	공개키	
	공격	
	공고	
	공고문	
	공고일	
	공공	
	공공건물	
	공공건물공중이용시설	
	공공관리주체	
	공공교통시설	
	공공기관	
	공공기술	
	공공기업	
	공공기업체	
	공공단체	
	공공도서관	
	공공보건의료	
	공공보건의료기관	
	공공부문	
	공공부조	
	공공비축미곡	
	공공수역	
	공공시설	
	공공연구기관	
	공공용물	
	공공용수면	
	공공용지	
	공공위험죄	
	공공정보	
	공공조합	
	공공차관	
	공공차관협약	
	공공측량	
	공공하수도	
	공공하수도관리청	
	공과금	
	공관	
	공관로	
	공교육	
	공구	
	공군	
	공권	
	공권력	
	공금	
	공급	
	공급가	
	공급가격	
	공급관	
	공급사	
	공급사업	
	공급설비	
	공급시설	
	공급자	
	공기	
	공기매개감염병	
	공기업	
	공기업특권	
	공기업특허	
	공기정화설비	
	공기총	
	공단	
	공단	
	공동	
	공동구	
	공동구조	
	공동담보	
	공동대리	
	공동면책	
	공동발행인	
	공동배서인	
	공동배선	
	공동배선사	
	공동보세구역	
	공동보증	
	공동보험	
	공동상속	
	공동소송	
	공동시설세	
	공동압류	
	공동연구기관	
	공동연수	
	공동유대	
	공동인수인	
	공동저당	
	공동점유	
	공동정범	
	공동주택	
	공동지배인	
	공동집배송센터	
	공동채무자	
	공동친권	
	공동피고인	
	공동해손	
	공란	
	공람	
	공로	
	공로자	
	공로주	
	공립	
	공립학교	
	공매	
	공매대금	
	공매도	
	공매보류	
	공매예정가격	
	공매조건	
	공명선거	
	공모	
	공모가	
	공모가격	
	공모금액	
	공모주	
	공모후	
	공무	
	공무담임권	
	공무소	
	공무원	
	공무집행방해죄	
	공문서	
	공물	
	공물경찰	
	공물관리권	
	공물사용권특허	
	공방	
	공범	
	공법	
	공병	
	공보	
	공보처	
	공부	
	공부방	
	공사	
	공사감리	
	공사관리지역	
	공사명령	
	공사실적액	
	공사업	
	공사업자	
	공사이행보증서	
	공사자	
	공사장	
	공사채	
	공산품	
	공상	
	공상군경	
	공설	
	공소	
	공소권	
	공소불가분원칙	
	공소사실	
	공소시효	
	공소장	
	공수비행	
	공시	
	공시가격	
	공시송달	
	공시지가	
	공식	
	공실	
	공안	
	공압실린더	
	공약	
	공업	
	공업용	
	공업용수도	
	공업용수도사업	
	공업용수도사업자	
	공업지역	
	공여	
	공여구역	
	공여해제반환재산	
	공역	
	공연	
	공연권	
	공연자	
	공연장	
	공연점유	
	공영	
	공영차고지	
	공예	
	공예품	
	공용	
	공용개시	
	공용물	
	공용부담	
	공용부분	
	공용송장	
	공용수용	
	공용화기	
	공용환권	
	공용환지	
	공원	
	공원계획	
	공원구역	
	공원기본계획	
	공원녹지	
	공원보호구역	
	공원사업	
	공원시설	
	공유	
	공유	
	공유기	
	공유림	
	공유물	
	공유물분할	
	공유수면	
	공유자	
	공유재산	
	공유지	
	공유토지	
	공익	
	공익권	
	공익근무요원	
	공익법무관	
	공익법인	
	공익사업	
	공익사업시행지구	
	공익서비스	
	공익채권	
	공인	
	공인노무사	
	공인인증기관	
	공인인증서	
	공인인증업무	
	공인전자문서보관소	
	공인전자서명	
	공인중개사	
	공인회계사	
	공작기계	
	공작물	
	공장	
	공장도가격	
	공장설립	
	공장신설	
	공장인도조건	
	공장재단	
	공장저당	
	공장증설	
	공적	
	공적개발원조	
	공적부조	
	공적운임	
	공적자금	
	공전법규안	
	공정	
	공정	
	공정거래위원회	
	공정규격	
	공정금리	
	공정증서	
	공제	
	공제가격	
	공제금액	
	공제법	
	공조	
	공조범죄	
	공조조약	
	공중	
	공중보건업무	
	공중보건의사	
	공중선	
	공중선계	
	공중선이득	
	공중선전력	
	공중위생	
	공중위생영업	
	공중이용시설	
	공중전화	
	공중전화기	
	공중화장실	
	공증	
	공증문서	
	공증행위	
	공지	
	공지게시판	
	공지사항	
	공지사항게시판	
	공지자	
	공직	
	공직선거	
	공직선거기간	
	공직선거예비후보자	
	공직선거후보자	
	공직자	
	공직후보자	
	공차	
	공채	
	공청회	
	공탁	
	공통	
	공통서식	
	공통선신호방식	
	공통적재구획실	
	공통필수기구	
	공판	
	공판기일	
	공판장	
	공판정	
	공판조서	
	공평	
	공포	
	공포일	
	공포탄	
	공표	
	공학	
	공항	
	공항만	
	공항만감시	
	공항상주업체	
	공항운영자	
	공해	
	공헌	
	공회전	
	공훈	
	공휴	
	공휴일	
	과	
	과거	
	과납	
	과년도	
	과년도지출	
	과다	
	과대광고	
	과대포장	
	과도	
	과로	
	과료	
	과목	
	과밀	
	과밀부담금	
	과밀억제지역	
	과반수	
	과부족	
	과부족사고화물	
	과부족용인조건	
	과부하	
	과세	
	과세가격	
	과세가격사전심사서	
	과세금액	
	과세기간	
	과세당국	
	과세물건	
	과세보류	
	과세연도	
	과세요건	
	과세자료	
	과세적부심사제도	
	과세전	
	과세전통지	
	과세정보	
	과세통관대상물품	
	과세표준	
	과세표준수정신고서	
	과세표준신고	
	과세표준신고서	
	과세환율	
	과소	
	과속	
	과수	
	과수원	
	과실	
	과실상계	
	과실점유	
	과실책임주의	
	과오	
	과오납	
	과오납금	
	과외교습	
	과원	
	과잉방위	
	과장	
	과적	
	과적차량	
	과점	
	과정	
	과제	
	과제카드	
	과징	
	과징금	
	과태	
	과태금	
	과태료	
	과표	
	과표금액	
	과학	
	과학검색장비	
	과학관	
	과학교원	
	과학교육	
	과학교육기관	
	과학기술교육프로그램	
	과학기술국제화기반조성사업	
	과학기술국제화사업	
	과학기술단지	
	과학기술부	
	과학기술분야정부출연연구기관	
	과학기술자료	
	과형	
	관	
	관개	
	관계	
	관계기관	
	관계기업	
	관계레벨	
	관계법률	
	관계시설	
	관계인	
	관계자	
	관계중앙행정기관	
	관계중앙행정기관장	
	관계지역	
	관계코드	
	관공서	
	관광	
	관광객	
	관광단지	
	관광사업	
	관광사업자	
	관광안내소	
	관광지	
	관광특구	
	관급	
	관급재료	
	관급품	
	관내	
	관람	
	관람석	
	관련	
	관련기관	
	관련복지제도	
	관련산업	
	관련자	
	관로	
	관리	
	관리과제	
	관리국	
	관리권	
	관리권자	
	관리기관	
	관리대상	
	관리대상수산자원	
	관리대상유해물질	
	관리대상화물	
	관리방조제	
	관리부대장	
	관리비	
	관리업	
	관리자	
	관리자카드	
	관리주체	
	관리처분권	
	관리청	
	관리함	
	관목	
	관문	
	관물	
	관보	
	관상	
	관상용	
	관서	
	관세	
	관세EDI환급시스템	
	관세경찰	
	관세계좌이체납부제도	
